ID,Baseline,Conc,DV
1,9.85,0.01,10.48
1,9.85,0.1,11.38
1,9.85,1,23.11
1,9.85,10,80.8
1,9.85,100,75.07
2,8.61,0.01,10.42
2,8.61,0.1,13.87
2,8.61,1,59.11
2,8.61,10,104.4
2,8.61,100,101.61
3,9.28,0.01,8.56
3,9.28,0.1,9.51
3,9.28,1,22.97
3,9.28,10,65.85
3,9.28,100,56.5
4,10.26,0.01,13.01
4,10.26,0.1,6.65
4,10.26,1,17.99
4,10.26,10,251.1
4,10.26,100,219.73
5,9.68,0.01,9.61
5,9.68,0.1,12.04
5,9.68,1,78.32
5,9.68,10,92.54
5,9.68,100,122.36
6,9.82,0.01,13.77
6,9.82,0.1,23.77
6,9.82,1,39.26
6,9.82,10,89.96
6,9.82,100,128.86
7,9.83,0.01,12.63
7,9.83,0.1,13.65
7,9.83,1,48.97
7,9.83,10,173.84
7,9.83,100,69.51
8,8.63,0.01,8.64
8,8.63,0.1,8.63
8,8.63,1,16.25
8,8.63,10,126.71
8,8.63,100,83.8
9,9.83,0.01,8.13
9,9.83,0.1,15.98
9,9.83,1,93.16
9,9.83,10,136.88
9,9.83,100,166.4
10,10.85,0.01,11.92
10,10.85,0.1,18.66
10,10.85,1,31.85
10,10.85,10,108.55
10,10.85,100,107.68
11,10.7,0.01,8.78
11,10.7,0.1,12.65
11,10.7,1,84.98
11,10.7,10,78.58
11,10.7,100,114.4
12,10.55,0.01,14.08
12,10.55,0.1,10.26
12,10.55,1,46.81
12,10.55,10,95.07
12,10.55,100,113.19
13,9.6,0.01,7.35
13,9.6,0.1,8.25
13,9.6,1,34.79
13,9.6,10,98.67
13,9.6,100,121.9
14,9.81,0.01,13.17
14,9.81,0.1,22.8
14,9.81,1,46.95
14,9.81,10,78.71
14,9.81,100,139.27
15,8.81,0.01,17.32
15,8.81,0.1,17.35
15,8.81,1,41.55
15,8.81,10,28.94
15,8.81,100,103.59
16,9.95,0.01,7.78
16,9.95,0.1,16.34
16,9.95,1,219.79
16,9.95,10,191.77
16,9.95,100,184.37
17,10.26,0.01,0.75
17,10.26,0.1,10.37
17,10.26,1,50.66
17,10.26,10,100.84
17,10.26,100,121.17
18,11.71,0.01,20.52
18,11.71,0.1,16.99
18,11.71,1,54.92
18,11.71,10,179.05
18,11.71,100,137.57
19,11,0.01,10.37
19,11,0.1,1.02
19,11,1,57.78
19,11,10,182.44
19,11,100,269.65
20,9.5,0.01,15.15
20,9.5,0.1,24.8
20,9.5,1,22.22
20,9.5,10,40.78
20,9.5,100,14.7
21,10.36,0.01,11.37
21,10.36,0.1,17.46
21,10.36,1,52.44
21,10.36,10,104.32
21,10.36,100,94.87
22,8.87,0.01,11.31
22,8.87,0.1,16.37
22,8.87,1,55.48
22,8.87,10,96.49
22,8.87,100,63.09
23,10.88,0.01,11.2
23,10.88,0.1,9.96
23,10.88,1,65.37
23,10.88,10,45.97
23,10.88,100,82.62
24,10.97,0.01,12.86
24,10.97,0.1,17.08
24,10.97,1,49.14
24,10.97,10,81.44
24,10.97,100,110.09
25,12.12,0.01,16.73
25,12.12,0.1,15.15
25,12.12,1,153.47
25,12.12,10,216.79
25,12.12,100,173.22
