    (Intercept)     age
M01      17.832 0.87302
M02      16.079 0.67083
M03      16.610 0.69396
M04      19.572 0.61043
M05      15.659 0.67947
M06      17.941 0.74601
M07      16.199 0.69105
M08      17.540 0.57277
M09      16.390 0.78921
M10      19.344 0.87600
M11      17.559 0.54968
M12      15.860 0.76609
M13      13.010 1.04016
M14      17.610 0.65072
M15      16.331 0.85849
M16      16.559 0.59292
F01      16.238 0.48609
F02      15.809 0.66504
F03      16.049 0.70547
F04      17.760 0.63630
F05      17.189 0.50058
F06      16.107 0.47742
F07      16.559 0.59292
F08      17.879 0.49774
F09      16.407 0.44857
F10      14.515 0.40804
F11      17.941 0.74601
