(Intercept)         age 
   16.76111     0.66019 
    (Intercept)        age
M01     1.07130  0.2128336
M02    -0.68198  0.0106498
M03    -0.15132  0.0337769
M04     2.81051 -0.0497575
M05    -1.10226  0.0192842
M06     1.18029  0.0858213
M07    -0.56170  0.0308648
M08     0.77843 -0.0874112
M09    -0.37068  0.1290276
M10     2.58263  0.2158136
M11     0.79824 -0.1105043
M12    -0.90134  0.1059005
M13    -3.75140  0.3799703
M14     0.84917 -0.0094634
M15    -0.43012  0.1983070
M16    -0.20224 -0.0672641
F01    -0.52345 -0.1740953
F02    -0.95226  0.0048595
F03    -0.71170  0.0452895
F04     0.99917 -0.0238881
F05     0.42749 -0.1596027
F06    -0.65364 -0.1827638
F07    -0.20224 -0.0672641
F08     1.11807 -0.1624469
F09    -0.35363 -0.2116132
F10    -2.24562 -0.2521450
F11     1.18029  0.0858213
