           F       G1      G2      G3     H1 H2
 [1,] 0.0000  0.00000  0.0000  0.0000 0.0000  1
 [2,] 4.5105  2.94951 -4.5105 -0.0667 4.5105  1
 [3,] 6.7287  2.33622 -6.7287 -0.2572 6.7287  1
 [4,] 7.4435  0.62733 -7.4435 -0.6497 7.4435  1
 [5,] 6.9841 -0.14751 -6.9841 -1.2453 6.9841  1
 [6,] 5.7929 -0.19794 -5.7929 -2.1254 5.7929  1
 [7,] 5.0643 -0.17354 -5.0643 -2.5389 5.0643  1
 [8,] 4.1352 -0.14171 -4.1352 -2.9112 4.1352  1
 [9,] 3.3448 -0.11463 -3.3448 -3.0643 3.3448  1
[10,] 2.4230 -0.08304 -2.4230 -3.0010 2.4230  1
[11,] 0.6693 -0.02294 -0.6693 -1.6901 0.6693  1
