      ID     ETA1       ETA2      ETA3
 [1,]  1 -0.63671 -0.2322584 -0.736482
 [2,]  2 -0.58958 -0.1533418 -0.066191
 [3,]  3 -0.30838 -0.1248167 -0.210132
 [4,]  4 -1.03060 -0.1868212 -0.211955
 [5,]  5 -0.82356 -0.3023521 -0.244539
 [6,]  6 -1.00253  0.0681815 -0.087451
 [7,]  7 -1.43163 -0.0979031 -0.138026
 [8,]  8 -0.75418 -0.0392390 -0.196212
 [9,]  9  0.78758  0.0107573 -0.199380
[10,] 10 -1.45556 -0.3690572 -0.400576
[11,] 11  0.15415 -0.0050613 -0.080058
[12,] 12 -1.28633 -0.3888648 -0.101344
